Name, Award, Date, Description, Topics, Tags, Source
"Jean Bartik", "IEEE Computer Pioneer Award", "2008", "For programming and co-leading the first teams of ENIAC programmers, and for pioneering work on BINAC and UNIVAC I.", "Early computers, Women in computing", "ENIAC, BINAC, UNIVAC", "https://www.computer.org/web/awards/pioneer"
"Jean Bartik", "Fellow, Computer History Museum", "2008", "For programming the ENIAC computer and helping adapt it to use software programs stored in memory.", "Early computers, Women in computing", "ENIAC", "http://www.computerhistory.org/fellowawards/hall/bios/Jean,Bartik/"
"Alan J. Perlis","A.M. Turing Award","1966",,,,"http://amturing.acm.org/award_winners/perlis_0132439.cfm"
"Maurice Wilkes","A.M. Turing Award","1967",,,,"http://amturing.acm.org/award_winners/wilkes_1001395.cfm"
"Richard Hamming","A.M. Turing Award","1968",,,,"http://amturing.acm.org/award_winners/hamming_1000652.cfm"
"Marvin Minsky","A.M. Turing Award","1969",,,,"http://amturing.acm.org/award_winners/minsky_7440781.cfm"
"James H. Wilkinson","A.M. Turing Award","1970",,,,"http://amturing.acm.org/award_winners/wilkinson_0671216.cfm"
"John McCarthy","A.M. Turing Award","1971",,,,"http://amturing.acm.org/award_winners/mccarthy_0239596.cfm"
"Edsger W. Dijkstra","A.M. Turing Award","1972",,,,"http://amturing.acm.org/award_winners/dijkstra_1053701.cfm"
"Charles Bachman","A.M. Turing Award","1973",,,,"http://amturing.acm.org/award_winners/bachman_9385610.cfm"
"Donald Knuth","A.M. Turing Award","1974",,,,"http://amturing.acm.org/award_winners/knuth_1013846.cfm"
"Allen Newell","A.M. Turing Award","1975",,,,"http://amturing.acm.org/award_winners/newell_3167755.cfm"
"Herbert A. Simon","A.M. Turing Award","1975",,,,"http://amturing.acm.org/award_winners/simon_1031467.cfm"
"Michael O. Rabin","A.M. Turing Award","1976",,,,"http://amturing.acm.org/award_winners/rabin_9681074.cfm"
"Dana S. Scott","A.M. Turing Award","1976",,,,"http://amturing.acm.org/award_winners/scott_1193622.cfm"
"John Backus","A.M. Turing Award","1977",,,,"http://amturing.acm.org/award_winners/backus_0703524.cfm"
"Robert W. Floyd","A.M. Turing Award","1978",,,,"http://amturing.acm.org/award_winners/floyd_3720707.cfm"
"Kenneth E. Iverson","A.M. Turing Award","1979",,,,"http://amturing.acm.org/award_winners/iverson_9147499.cfm"
"C. A. R. Hoare","A.M. Turing Award","1980",,,,"http://amturing.acm.org/award_winners/hoare_4622167.cfm"
"Edgar F. Codd","A.M. Turing Award","1981",,,,"http://amturing.acm.org/award_winners/codd_1000892.cfm"
"Stephen Cook","A.M. Turing Award","1982",,,,"http://amturing.acm.org/award_winners/cook_n991950.cfm"
"Ken Thompson","A.M. Turing Award","1983",,,,"http://amturing.acm.org/award_winners/thompson_4588371.cfm"
"Dennis Ritchie","A.M. Turing Award","1983",,,,"http://amturing.acm.org/award_winners/ritchie_1506389.cfm"
"Niklaus Wirth","A.M. Turing Award","1984",,,,"http://amturing.acm.org/award_winners/wirth_1025774.cfm"
"Richard M. Karp","A.M. Turing Award","1985",,,,"http://amturing.acm.org/award_winners/karp_3256708.cfm"
"John Hopcroft","A.M. Turing Award","1986",,,,"http://amturing.acm.org/award_winners/hopcroft_1053917.cfm"
"Robert Tarjan","A.M. Turing Award","1986",,,,"http://amturing.acm.org/award_winners/tarjan_1092048.cfm"
"John Cocke","A.M. Turing Award","1987",,,,"http://amturing.acm.org/award_winners/cocke_2083115.cfm"
"Ivan Sutherland","A.M. Turing Award","1988",,,,"http://amturing.acm.org/award_winners/sutherland_3467412.cfm"
"William Kahan","A.M. Turing Award","1989",,,,"http://amturing.acm.org/award_winners/kahan_1023746.cfm"
"Fernando J. Corbató","A.M. Turing Award","1990",,,,"http://amturing.acm.org/award_winners/corbato_1009471.cfm"
"Robin Milner","A.M. Turing Award","1991",,,,"http://amturing.acm.org/award_winners/milner_1569367.cfm"
"Butler W. Lampson","A.M. Turing Award","1992",,,,"http://amturing.acm.org/award_winners/lampson_1142421.cfm"
"Juris Hartmanis","A.M. Turing Award","1993",,,,"http://amturing.acm.org/award_winners/hartmanis_1059260.cfm"
"Richard E. Stearns","A.M. Turing Award","1993",,,,"http://amturing.acm.org/award_winners/stearns_1081900.cfm"
"Edward Feigenbaum","A.M. Turing Award","1994",,,,"http://amturing.acm.org/award_winners/feigenbaum_4167235.cfm"
"Raj Reddy","A.M. Turing Award","1994",,,,"http://amturing.acm.org/award_winners/reddy_9634208.cfm"
"Manuel Blum","A.M. Turing Award","1995",,,,"http://amturing.acm.org/award_winners/blum_4659082.cfm"
"Amir Pnueli","A.M. Turing Award","1996",,,,"http://amturing.acm.org/award_winners/pnueli_4725172.cfm"
"Douglas Engelbart","A.M. Turing Award","1997",,,,"http://amturing.acm.org/award_winners/engelbart_5078811.cfm"
"Jim Gray","A.M. Turing Award","1998",,,,"http://amturing.acm.org/award_winners/gray_3649936.cfm"
"Frederick P. Brooks","A.M. Turing Award","1999",,,,"http://amturing.acm.org/award_winners/brooks_1002187.cfm"
"Andrew Chi-Chih Yao","A.M. Turing Award","2000",,,,"http://amturing.acm.org/award_winners/yao_1611524.cfm"
"Ole-Johan Dahl","A.M. Turing Award","2001",,,,"http://amturing.acm.org/award_winners/dahl_6917600.cfm"
"Kristen Nygaard","A.M. Turing Award","2001",,,,"http://amturing.acm.org/award_winners/nygaard_5916220.cfm"
"Ronald L. Rivest","A.M. Turing Award","2002",,,,"http://amturing.acm.org/award_winners/rivest_1403005.cfm"
"Adi Shamir","A.M. Turing Award","2002",,,,"http://amturing.acm.org/award_winners/shamir_2327856.cfm"
"Leonard Adleman","A.M. Turing Award","2002",,,,"http://amturing.acm.org/award_winners/adleman_7308544.cfm"
"Alan Kay","A.M. Turing Award","2003",,,,"http://amturing.acm.org/award_winners/kay_3972189.cfm"
"Vint Cerf","A.M. Turing Award","2004",,,,"http://amturing.acm.org/award_winners/cerf_1083211.cfm"
"Bob Kahn","A.M. Turing Award","2004",,,,"http://amturing.acm.org/award_winners/kahn_4598637.cfm"
"Peter Naur","A.M. Turing Award","2005",,,,"http://amturing.acm.org/award_winners/naur_1024454.cfm"
"Frances E. Allen","A.M. Turing Award","2006",,,,"http://amturing.acm.org/award_winners/allen_1012327.cfm"
"E. Allen Emerson","A.M. Turing Award","2007",,,,"http://amturing.acm.org/award_winners/emerson_1671460.cfm"
"Edmund M. Clarke","A.M. Turing Award","2007",,,,"http://amturing.acm.org/award_winners/clarke_1167964.cfm"
"Joseph Sifakis","A.M. Turing Award","2007",,,,"http://amturing.acm.org/award_winners/sifakis_1701095.cfm"
"Barbara Liskov","A.M. Turing Award","2008",,,,"http://amturing.acm.org/award_winners/liskov_1108679.cfm"
"Charles P. Thacker","A.M. Turing Award","2009",,,,"http://amturing.acm.org/award_winners/thacker_1336106.cfm"
"Leslie G. Valiant","A.M. Turing Award","2010",,,,"http://amturing.acm.org/award_winners/valiant_2612174.cfm"
"Judea Pearl","A.M. Turing Award","2011",,,,"http://amturing.acm.org/award_winners/pearl_2658896.cfm"
"Silvio Micali","A.M. Turing Award","2012",,,,"http://amturing.acm.org/award_winners/micali_9954407.cfm"
"Shafi Goldwasser","A.M. Turing Award","2012",,,,"http://amturing.acm.org/award_winners/goldwasser_8627889.cfm"
"Leslie Lamport","A.M. Turing Award","2013",,,,"http://amturing.acm.org/award_winners/lamport_1205376.cfm"
"Michael Stonebraker","A.M. Turing Award","2014",,,,"http://amturing.acm.org/award_winners/stonebraker_1172121.cfm"
"Martin E. Hellman","A.M. Turing Award","2015",,,,"http://amturing.acm.org/award_winners/hellman_4055781.cfm"
"Whitfield Diffie","A.M. Turing Award","2015",,,,"http://amturing.acm.org/award_winners/diffie_8371646.cfm"
